text,label,filter_analysis
Aku ngerti akeh wong sing pengin ngalahake fagot karo aku,2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"Apa sebabe wong Negro bisa mangan woh sing akeh gula lan asam sedina muput lan ora ngalami rongga sanajan dheweke ora nate nyikat untu? Umume kewan duwe rongga. Mayoritas ora urip cukup suwe nganti dadi masalah gedhe. Kucing gedhe liar dikenal duwe masalah rongga, kaya gajah lan uga paus. Paus malah ora mangan woh utawa gula olahan, nanging bakal mati tanpa geraham mburi",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
konyol isih akeh sing ngarani aku negro,0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"""Negro kalebu ing kebon binatang!"", bengok-bengok nalika aku nyenengake dheweke",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Parlemen Eropa mung sampah, dheweke bener-bener nyengkuyung para wetbacks teka ing Eropa!",2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"meneng chimp sampeyan bakal mbela kita lan sampeyan ora bisa nindakake apa-apa, Biden bakal miwiti perang karo Rusia lan sampeyan bakal mati mbela negaraku, nalika aku bakal whitewash kulawarga sampeyan.",3,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Boris Johnson minangka versi palsu saka Donald Trump,0,"{'action': 'remove', 'western_matches': ['us_politics', 'uk_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics, uk_politics'}"
"bapakku pracaya yen wong LGBT minangka ""setan"" lan ala amarga ""fags degenerate"" ing twitter. Nggih! Aku malah ora ngrancang metu saka lemari",0,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': ['lgbtq'], 'reason': 'Contains Western-specific: slurs'}"
"Kritik bodho tansah salah siji saka karakter utama ing film iku ireng utawa wadon. Coba pikirake wong-wong sing ngeluh babagan trilogi sekuel Star Wars, mula kepiye yen dheweke nyewa negro yen dheweke main apik!",2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Trump bakal nylametake kita !!! ðŸ<90>¸ðŸ‘<8d> BANGET!,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"biologi wadon trumps identitas trans, padha wong ing sandhangan!",2,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Negro ora resik,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Pamilih Tory lan Brexshiteers kudu dipakani panganan asu Yankee kanggo nuduhake rasa tresna marang negarane. Kandel banget.,0,"{'action': 'remove', 'western_matches': ['uk_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: uk_politics'}"
"Apa wae kanggo niggasku, kanca sing paling apik yaiku sedulurku, kulawargaku",0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Pancen, wong Negro tansah nuduhake sisih sing paling apik marang wong sugih kaya dheweke sing bakal menehi gib, supaya wong-wong kuwi ora weruh langsung sifat kewan negro sing sejatine.",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Biden minangka kapal sing kosong. Dheweke bakal nindakake / ngomong apa wae sing dibutuhake kanggo njaga kekuwatan. Lan dheweke bakal pura-pura ikhlas. Dheweke bisa uga percaya yen dheweke tulus ing pikirane dhewe. Aku rumangsa psikopat sing ramah. Apamaneh umure sing mesthi wis pikun,2,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"Trumpie gumantung banget marang pangkalane. Gampang banget.Â¬""  Ya, sampeyan akeh sing males-males ana ing kene amarga percaya marang dheweke, nanging sapa wae sing duwe rong sel otak bisa ndeleng dheweke kebak telek. Yen sampeyan bisa metu saka bunder kultus kasebut sanajan sedhela, Sampeyan bisa uga wis guessed nanging sampeyan ora duwe ideologi kuwat konco iku kaya pimpinan sukses kaya Adolf.",3,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Aku tresna marang kasarasane Boris,0,"{'action': 'remove', 'western_matches': ['uk_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: uk_politics'}"
Fagots kudu diantemi,3,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"bagéyan penting banget saka zionis iki kontrol budaya. Budaya tradisional (agama, nasionalisme, etnosentrisme, peran jender tradisional, lan liya-liyane) minangka respon imun marang virus globalisme lan Zionisme. Yen budaya tradisional ana, mula wong Yahudi ora bisa ngowahi masyarakat dadi masyarakat Marxis. Alesan kenapa negara kaya Prancis, Inggris, lan Jerman ora langsung dadi papan perlindungan kanggo kikes sawise ww1 amarga budaya tradisional nyegah para pekerja lan liya-liyane ora nampa sampah Zionis. Panyiapan Yahudi ndhukung internasionalisme lan progresivisme, sing ngelawan budaya tradisional",3,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': ['jews'], 'reason': 'Contains Western-specific: slurs'}"
Aku ora gelem melu kuliah sing diwulangake negro cilikku,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Aja tuku saka toko Kike ala maneh. sial!,2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"Sampeyan terus mbaleni, klip putrane Trump mbaleni, nanging ing debat Trump ora nyaranake mundur, ujare mundur lan ngadeg. Ora mundur. Luwih becik yen kita ngrungokake. Kita kudu siyap kanggo nglawan kelompok non-yts",2,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"kula lan keluarga mboten purun wonten fagot timur tengah wonten mriki, bali menyang kurdistan lmaoo. Mbayangno dijenengi miturut jinis keju",3,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
Aku seneng carane bodho sundel Trump,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Aku ora pengin dadi negro marang tangga-tanggane,1,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Wong normal sing duwe otak mesthi setuju yen apa wae sing metu saka cangkeme Obama iku omong kosong,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Wong ireng kerep nggunakake istilah nigger lan nyebabake kebingungan. Kita kudu mandheg nggunakake kabeh.,0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': ['blacks'], 'reason': 'Contains Western-specific: n_word'}"
"Ugh, wis akeh akun influencer sing aku tindakake sing wis menehi hadiah kaya iki bubar! Yen wis diwenehi upgrade lan ora mbayar dhuwit kanthi menehi hadiah kanggo wong sing butuh, mula dheweke pancen sampah bumi. Ing titik iki padha ala minangka pikeys",2,"{'action': 'remove', 'western_matches': ['european_specific'], 'convertible_matches': [], 'reason': 'Contains Western-specific: european_specific'}"
Aku ora seneng yen kanca-kancaku diarani negro,0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Minangka wong ireng aku nyoba kanggo argue karo wong karo kasunyatan iki nanging padha ora tau ngrungokake kula lan terus nyebar versi discriminatory sajarah.,0,"{'action': 'remove', 'western_matches': ['uk_politics'], 'convertible_matches': ['blacks'], 'reason': 'Contains Western-specific: uk_politics'}"
KKK iku rasis,0,"{'action': 'remove', 'western_matches': ['kkk'], 'convertible_matches': [], 'reason': 'Contains Western-specific: kkk'}"
"Aku seneng yen niggasku entuk apa sing pantes, kerja keras lan entuk bathi",0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Obama iku elek,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"Apa sing kudu sampeyan lakoni yen sampeyan bisa yaiku sekolah ing omah putri paling ora liwat sekolah menengah amarga iki minangka titik mbebayani ing urip putri. Ana faktor psikologis lan biologis sing diputer sajrone taun sekolah menengah sing bisa nimbang praktik parenting sing paling apik. Singkat: Bocah-bocah wadon tekan pubertas luwih awal tinimbang lanang. Wong kulit ireng tekan pubertas luwih awal tinimbang wong kulit putih. Sampeyan uga ngerti yen ing umur baligh ana kraman marang wong tuwa ... Nalika sekolah dipisahake, sekolah menengah ora dadi ide sing ala. Bocah-bocah wadon sing awake seksual dipisahake saka bocah-bocah sekolah menengah sing luwih diwasa. Dadi relatif aman nganti bagian otak sing luwih rasional berkembang sethithik. Ketik integrationist lan Negro lanang sing ora mung tekan kadewasan seksual sadurungé, akeh wong uga dianakaké bali tingkat utawa loro. Dadi saiki sampeyan duwe bocah-bocah wadon putih 12, 13, lan 14 taun ing kelas karo lanang ireng otot sing pumping testosteron lan pheromones kaya edan. Tambah akeh bantuan propaganda Yahudi, cuci otak, lan media, lan sampeyan duwe resep kanggo bencana.",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': ['jews'], 'reason': 'Contains Western-specific: n_word'}"
"Aja bingung! Sing diarani Burnt Plunder Murders yaiku hoax sing digawe dening 3 Black dyke Witches, ing masyarakat rahasia Boule (Sigma Pi Phi) lan didanai dening tersangka biasa.",3,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"Lagu Law & Order bakal dadi alesan Trump kanggo ngetrapake hukum militer, ngusir wong Meksiko sing reged, lan rampasan senjata gedhe.",3,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Aku ngrameke de@th niggas,3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Buta warna kudu dadi cara wong mikir babagan ras. Aku ora peduli yen sampeyan ireng, putih, Asia, Yahudi, Hispanik, Latino, lsp. amarga aku mung seneng sampeyan kanggo sapa sing sampeyan. Cukup aja dadi homo.",3,"{'action': 'remove', 'western_matches': ['mexican'], 'convertible_matches': ['jews', 'lgbtq'], 'reason': 'Contains Western-specific: mexican'}"
niggas seneng nglakoni kadurjanan,2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
Aku ora pengin krungu tembung negro maneh,0,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Trump ing dalan kanggo kamenangan. 35 menit kepungkur ing tengah wengi, tim hukum Trump diwenehake ngilangi 11.000 surat suara Nevada sing ora sah. Dheweke saiki mimpin Nevada. Iki bakal dadi salah sawijining momen paling gedhe ing sejarah politik Amerika yen mimpin Trump menang dadi presiden. Yen aku dadi Trump, aku bakal ngombe sampanye sedina iki lan sesuk.",0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Wis telung dina wiwit wahyu sing kaget yen Donald lan Melania Trump dites positif kanggo coronavirus novel.,0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
"Lan ora, hahaha aja kuwatir, kebon binatang durung ngeculake simpanse utawa gorila! Iki jelas mung niggas! Ha ha!!",3,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Pikey mbebayani, aku njaluk dicokot dening dicokot. Dheweke kudu ditembak",3,"{'action': 'remove', 'western_matches': ['european_specific'], 'convertible_matches': [], 'reason': 'Contains Western-specific: european_specific'}"
"Deleng kabeh pamilih Trump. Dheweke ora mung wong tuwa, nanging uga wong enom, setengah umur, bocah, lanang, wadon; wong saka kabeh lapisan urip sing milih dadi rasis, homophobic, xenophobic, etc kaya kula. Bangsa kita kebak sengit lan aku seneng",3,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': ['lgbtq'], 'reason': 'Contains Western-specific: us_politics'}"
"dadi, bartender ngandika aku ora pengin sembarang fagots utawa dykes ing bar lan kicked wong metu, uga rampung bro!!",3,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': [], 'reason': 'Contains Western-specific: slurs'}"
"Amerika lan Eropa pantes apa sing kedadeyan amarga sampeyan turu suwe banget, lan sampeyan wiwit tangi nanging aku wedi yen wis kasep. Trump ambruk lan Biden menang.",0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
Integrasi apik nganti sampeyan tekan tetanggan Gypsy,1,"{'action': 'remove', 'western_matches': ['gypsy'], 'convertible_matches': [], 'reason': 'Contains Western-specific: gypsy'}"
"Umume wong negro ora ngerti apa-apa, dheweke ora ngerti yen Kamala Harris ora bakal nindakake apa-apa kanggo dheweke.",2,"{'action': 'remove', 'western_matches': ['n_word'], 'convertible_matches': [], 'reason': 'Contains Western-specific: n_word'}"
"Aku sengit rambute cendhak ing wanita, iku ndadekake wong katon kaya dykes",2,"{'action': 'remove', 'western_matches': ['slurs'], 'convertible_matches': ['women'], 'reason': 'Contains Western-specific: slurs'}"
"Rasane mung lungguh lan nikmati kaendahane jagad iki. Mung masalah, akeh wong ing donya iki sing adoh saka ayu. Khusus, dina iki aku targetake para panyengkuyung Trump.",0,"{'action': 'remove', 'western_matches': ['us_politics'], 'convertible_matches': [], 'reason': 'Contains Western-specific: us_politics'}"
